Name,Brand,Category,Price,Rating,Ingredients,Description,price_category,dry_skin_compatibility,oily_skin_compatibility,sensitive_skin_compatibility,combination_skin_compatibility,normal_skin_compatibility
L Oreal Mask Cover,L Oreal,Mask,64.17,4.2,Shea Butter Aloe Vera Calendula Jojoba Oil Vitamin E Kaolin,A pore minimizing and hydrating mask enriched with Shea Butter and Aloe Vera,premium,1.0,0.0,1.0,1.0,1.0
Fenty Beauty Moisturizer Ahead,Fenty Beauty,Moisturizer,78.2,4.8,Madecassoside Tea Tree Oil Charcoal,A calming and nourishing moisturizer enriched with Madecassoside and Tea Tree Oil,luxury,0.0,1.0,0.0,0.0,0.0
CeraVe Sunscreen Necessary,CeraVe,Sunscreen,59.31,3.8,Vitamin E Ceramides Aloe Vera Vitamin E Vitamin E Shea Butter Jojoba Oil,A calming and clarifying sunscreen enriched with Vitamin E and Ceramides,premium,1.0,0.0,0.5,1.0,1.0
Drunk Elephant Sunscreen Despite,Drunk Elephant,Sunscreen,16.16,3.0,Vitamin E Ceramides Peptides Avocado Oil,A clarifying and anti aging sunscreen enriched with Vitamin E and Ceramides,budget,0.5,0.0,0.0,0.5,1.0
The Ordinary Eyeshadow Into,The Ordinary,Eyeshadow,32.55,3.5,Squalane Panthenol Jojoba Oil Aloe Vera,A anti aging and brightening eyeshadow enriched with Squalane and Panthenol,affordable,1.0,0.0,0.5,1.0,0.5
Clinique Moisturizer Care,Clinique,Moisturizer,70.37,3.3,Squalane Ceramides Vitamin E,A nourishing and mattifying moisturizer enriched with Squalane and Ceramides,luxury,1.0,0.0,0.0,0.5,0.5
Fenty Beauty Mask Court,Fenty Beauty,Mask,8.24,3.4,Aloe Vera Hyaluronic Acid Glycolic Acid Glycerin Green Tea,A revitalizing and calming mask enriched with Aloe Vera and Hyaluronic Acid,budget,1.0,0.0,1.0,1.0,0.5
Tatcha Foundation Carry,Tatcha,Foundation,26.56,4.3,Antioxidants Aloe Vera Calendula Retinol,A soothing and clarifying foundation enriched with Antioxidants and Aloe Vera,budget,0.5,0.0,1.0,0.5,1.0
Estee Lauder Sunscreen West,Estee Lauder,Sunscreen,47.39,3.8,Squalane Hyaluronic Acid Green Tea Jojoba Oil Antioxidants Glycolic Acid Aloe Vera Glycerin,A brightening and hydrating sunscreen enriched with Squalane and Hyaluronic Acid,affordable,1.0,0.0,1.0,1.0,1.0
Estee Lauder Cleanser Trip,Estee Lauder,Cleanser,59.45,3.3,Kaolin Ceramides Hyaluronic Acid Aloe Vera Avocado Oil Vitamin E Argan Oil,A brightening and calming cleanser enriched with Kaolin and Ceramides,premium,1.0,0.0,0.5,1.0,1.0
Fenty Beauty Sunscreen City,Fenty Beauty,Sunscreen,74.08,4.4,Ceramides Aloe Vera Peptides Clay Niacinamide Vitamin C Coenzyme Q10 Aloe Vera,A soothing and nourishing sunscreen enriched with Ceramides and Aloe Vera,luxury,1.0,1.0,0.5,1.0,1.0
Fenty Beauty Concealer Author,Fenty Beauty,Concealer,84.25,3.8,Charcoal Salicylic Acid,A calming and hydrating concealer enriched with Charcoal and Salicylic Acid,luxury,0.0,1.0,0.0,0.0,0.0
Estee Lauder Eyeshadow Indicate,Estee Lauder,Eyeshadow,13.14,4.3,Witch Hazel Tea Tree Oil Retinol Zinc Glycerin Niacinamide Green Tea,A hydrating and calming eyeshadow enriched with Witch Hazel and Tea Tree Oil,budget,0.5,1.0,0.5,1.0,0.0
Estee Lauder Foundation Finally,Estee Lauder,Foundation,9.12,4.9,Niacinamide Kaolin Tea Tree Oil Centella Asiatica Glycolic Acid,A soothing and mattifying foundation enriched with Niacinamide and Kaolin,budget,0.0,1.0,0.5,0.5,0.0
Laneige Cleanser Message,Laneige,Cleanser,27.7,4.4,Ceramides Aloe Vera Antioxidants,A anti aging and hydrating cleanser enriched with Ceramides and Aloe Vera,budget,1.0,0.0,0.5,0.5,1.0
L Oreal Moisturizer Take,L Oreal,Moisturizer,58.06,4.0,Niacinamide Hyaluronic Acid,A mattifying and brightening moisturizer enriched with Niacinamide and Hyaluronic Acid,premium,0.5,0.5,0.0,1.0,0.0
NYX Cleanser Job,NYX,Cleanser,75.47,4.1,Aloe Vera Antioxidants Vitamin E Centella Asiatica Hyaluronic Acid Vitamin C,A soothing and mattifying cleanser enriched with Aloe Vera and Antioxidants,luxury,1.0,0.0,1.0,1.0,1.0
Estee Lauder Moisturizer Arrive,Estee Lauder,Moisturizer,28.49,3.6,Hyaluronic Acid Chamomile Argan Oil Allantoin Madecassoside,A soothing and calming moisturizer enriched with Hyaluronic Acid and Chamomile,affordable,0.5,0.0,1.0,0.5,0.0
Tatcha Moisturizer Computer,Tatcha,Moisturizer,19.26,5.0,Allantoin Centella Asiatica Oatmeal Calendula Retinol Ceramides,A anti aging and pore minimizing moisturizer enriched with Allantoin and Centella Asiatica,budget,0.5,0.0,1.0,0.0,0.0
NYX Eyeshadow Green,NYX,Eyeshadow,52.86,4.3,Madecassoside Panthenol Bisabolol Vitamin E Witch Hazel Green Tea Aloe Vera,A revitalizing and clarifying eyeshadow enriched with Madecassoside and Panthenol,premium,0.5,0.5,1.0,1.0,1.0
Maybelline Eyeshadow Town,Maybelline,Eyeshadow,30.51,4.0,Tea Tree Oil Squalane Avocado Oil Vitamin E Shea Butter,A clarifying and mattifying eyeshadow enriched with Tea Tree Oil and Squalane,affordable,1.0,0.5,0.0,0.5,0.5
Neutrogena Blush Final,Neutrogena,Blush,29.03,3.7,Aloe Vera Hyaluronic Acid Squalane Shea Butter Jojoba Oil,A clarifying and mattifying blush enriched with Aloe Vera and Hyaluronic Acid,affordable,1.0,0.0,0.5,1.0,0.5
Estee Lauder Concealer List,Estee Lauder,Concealer,65.56,4.0,Panthenol Coenzyme Q10 Peptides Niacinamide Vitamin C Tea Tree Oil Ceramides,A nourishing and clarifying concealer enriched with Panthenol and Coenzyme Q10,premium,0.5,1.0,0.0,0.5,1.0
Innisfree Blush Throughout,Innisfree,Blush,49.4,4.9,Glycolic Acid Antioxidants Vitamin C Niacinamide Ceramides,A calming and nourishing blush enriched with Glycolic Acid and Antioxidants,premium,0.5,0.5,0.0,0.5,1.0
Maybelline Moisturizer On,Maybelline,Moisturizer,27.72,4.0,Squalane Niacinamide Bisabolol Hyaluronic Acid Green Tea Clay,A pore minimizing and clarifying moisturizer enriched with Squalane and Niacinamide,budget,1.0,1.0,0.5,1.0,0.0
Drunk Elephant Sunscreen War,Drunk Elephant,Sunscreen,23.98,4.4,Aloe Vera Calendula Glycerin Centella Asiatica Charcoal Green Tea Oatmeal Panthenol,A hydrating and pore minimizing sunscreen enriched with Aloe Vera and Calendula,budget,1.0,0.5,1.0,1.0,0.5
Clinique Foundation Fill,Clinique,Foundation,74.65,4.2,Calendula Hyaluronic Acid Coenzyme Q10 Vitamin E Glycerin Aloe Vera,A revitalizing and mattifying foundation enriched with Calendula and Hyaluronic Acid,luxury,1.0,0.0,1.0,1.0,1.0
Clinique Foundation Continue,Clinique,Foundation,35.76,3.6,Vitamin C Niacinamide Antioxidants Hyaluronic Acid,A brightening and hydrating foundation enriched with Vitamin C and Niacinamide,affordable,0.5,0.5,0.0,1.0,1.0
The Ordinary Sunscreen Class,The Ordinary,Sunscreen,79.86,4.8,Vitamin C Aloe Vera Hyaluronic Acid Tea Tree Oil,A pore minimizing and clarifying sunscreen enriched with Vitamin C and Aloe Vera,luxury,1.0,0.5,0.5,1.0,1.0
Clinique Eyeshadow Possible,Clinique,Eyeshadow,6.77,4.8,Clay Salicylic Acid Avocado Oil Witch Hazel Zinc Niacinamide,A mattifying and revitalizing eyeshadow enriched with Clay and Salicylic Acid,budget,0.0,1.0,0.0,0.5,0.0
NYX Cleanser Student,NYX,Cleanser,20.72,3.1,Ceramides Witch Hazel Zinc,A calming and mattifying cleanser enriched with Ceramides and Witch Hazel,budget,0.5,1.0,0.0,0.0,0.0
Drunk Elephant Lipstick Go,Drunk Elephant,Lipstick,89.27,3.9,Tea Tree Oil Witch Hazel Niacinamide,A anti aging and revitalizing lipstick enriched with Tea Tree Oil and Witch Hazel,luxury,0.0,1.0,0.0,0.5,0.0
CeraVe Mask Whose,CeraVe,Mask,29.12,3.9,Madecassoside Bisabolol Chamomile Oatmeal Shea Butter,A clarifying and pore minimizing mask enriched with Madecassoside and Bisabolol,affordable,0.5,0.0,1.0,0.0,0.0
The Ordinary Eyeshadow Help,The Ordinary,Eyeshadow,12.16,4.3,Antioxidants Ceramides Peptides Niacinamide Vitamin C Hyaluronic Acid,A pore minimizing and clarifying eyeshadow enriched with Antioxidants and Ceramides,budget,1.0,0.5,0.0,1.0,1.0
CeraVe Lipstick Lay,CeraVe,Lipstick,86.3,3.2,Calendula Ceramides Avocado Oil Squalane Aloe Vera,A revitalizing and brightening lipstick enriched with Calendula and Ceramides,luxury,1.0,0.0,1.0,0.5,0.5
NYX Foundation Risk,NYX,Foundation,66.97,5.0,Squalane Aloe Vera Shea Butter Argan Oil Ceramides Glycerin,A nourishing and revitalizing foundation enriched with Squalane and Aloe Vera,premium,1.0,0.0,0.5,1.0,0.5
Maybelline Foundation Pass,Maybelline,Foundation,69.05,3.9,Hyaluronic Acid Vitamin C Peptides Aloe Vera Aloe Vera,A pore minimizing and anti aging foundation enriched with Hyaluronic Acid and Vitamin C,premium,1.0,0.0,0.5,1.0,1.0
Clinique Sunscreen Partner,Clinique,Sunscreen,56.49,3.4,Bisabolol Jojoba Oil Aloe Vera Jojoba Oil Ceramides,A calming and mattifying sunscreen enriched with Bisabolol and Jojoba Oil,premium,1.0,0.0,0.5,1.0,0.5
NYX Lipstick Well,NYX,Lipstick,77.16,3.9,Aloe Vera Glycerin Argan Oil Jojoba Oil Squalane Hyaluronic Acid,A hydrating and anti aging lipstick enriched with Aloe Vera and Glycerin,luxury,1.0,0.0,0.5,1.0,0.5
Neutrogena Mask Glass,Neutrogena,Mask,39.28,4.8,Hyaluronic Acid Squalane Peptides Madecassoside Coenzyme Q10 Niacinamide,A soothing and pore minimizing mask enriched with Hyaluronic Acid and Squalane,affordable,1.0,0.5,0.0,1.0,1.0
Clinique Moisturizer Culture,Clinique,Moisturizer,61.27,3.4,Oatmeal Allantoin Panthenol Antioxidants,A pore minimizing and brightening moisturizer enriched with Oatmeal and Allantoin,premium,0.0,0.0,1.0,0.0,0.5
Rare Beauty Blush Art,Rare Beauty,Blush,20.55,4.7,Zinc Niacinamide Clay,A mattifying and clarifying blush enriched with Zinc and Niacinamide,budget,0.0,1.0,0.0,0.5,0.0
L Oreal Blush Agent,L Oreal,Blush,17.18,3.4,Vitamin E Aloe Vera Coenzyme Q10,A mattifying and calming blush enriched with Vitamin E and Aloe Vera,budget,0.5,0.0,0.5,1.0,1.0
Glossier Moisturizer His,Glossier,Moisturizer,80.68,4.3,Niacinamide Vitamin E Peptides Jojoba Oil Hyaluronic Acid,A anti aging and pore minimizing moisturizer enriched with Niacinamide and Vitamin E,luxury,1.0,0.5,0.0,1.0,1.0
The Ordinary Moisturizer Stop,The Ordinary,Moisturizer,15.7,3.8,Allantoin Green Tea Centella Asiatica Squalane Oatmeal,A mattifying and calming moisturizer enriched with Allantoin and Green Tea,budget,0.5,0.0,1.0,0.0,0.0
Clinique Eyeshadow Type,Clinique,Eyeshadow,6.3,3.9,Aloe Vera Ceramides Antioxidants Vitamin E Hyaluronic Acid Vitamin E Peptides,A brightening and pore minimizing eyeshadow enriched with Aloe Vera and Ceramides,budget,1.0,0.0,0.5,1.0,1.0
Tatcha Sunscreen Watch,Tatcha,Sunscreen,30.03,4.7,Argan Oil Glycerin Hyaluronic Acid,A clarifying and mattifying sunscreen enriched with Argan Oil and Glycerin,affordable,1.0,0.0,0.0,1.0,0.0
The Ordinary Serum Whatever,The Ordinary,Serum,67.72,3.6,Madecassoside Allantoin Chamomile Aloe Vera,A calming and clarifying serum enriched with Madecassoside and Allantoin,premium,0.5,0.0,1.0,0.5,0.5
Fenty Beauty Serum Fish,Fenty Beauty,Serum,85.46,4.3,Hyaluronic Acid Charcoal Aloe Vera Avocado Oil Glycerin Jojoba Oil,A revitalizing and brightening serum enriched with Hyaluronic Acid and Charcoal,luxury,1.0,0.5,0.5,1.0,0.5
Maybelline Sunscreen Need,Maybelline,Sunscreen,26.82,3.3,Aloe Vera Argan Oil,A calming and hydrating sunscreen enriched with Aloe Vera and Argan Oil,budget,0.5,0.0,0.5,0.5,0.5
CeraVe Foundation Both,CeraVe,Foundation,58.27,3.1,Ceramides Hyaluronic Acid Argan Oil Tea Tree Oil,A revitalizing and soothing foundation enriched with Ceramides and Hyaluronic Acid,premium,1.0,0.5,0.0,0.5,0.0
The Ordinary Cleanser Southern,The Ordinary,Cleanser,37.98,3.6,Bisabolol Chamomile Aloe Vera Calendula,A nourishing and hydrating cleanser enriched with Bisabolol and Chamomile,affordable,0.5,0.0,1.0,0.5,0.5
Glossier Mask Many,Glossier,Mask,83.36,5.0,Jojoba Oil Avocado Oil Glycerin Ceramides Shea Butter Aloe Vera Zinc,A revitalizing and mattifying mask enriched with Jojoba Oil and Avocado Oil,luxury,1.0,0.5,0.5,1.0,0.5
Innisfree Blush Majority,Innisfree,Blush,67.7,3.4,Vitamin E Vitamin E Aloe Vera Hyaluronic Acid Peptides Vitamin C,A calming and clarifying blush enriched with Vitamin E and Vitamin E,premium,1.0,0.0,0.5,1.0,1.0
NYX Lipstick Identify,NYX,Lipstick,75.55,4.2,Glycolic Acid Hyaluronic Acid Retinol Clay Salicylic Acid Hyaluronic Acid,A clarifying and mattifying lipstick enriched with Glycolic Acid and Hyaluronic Acid,luxury,0.5,1.0,0.0,0.5,0.0
Fenty Beauty Eyeshadow Son,Fenty Beauty,Eyeshadow,30.5,4.7,Vitamin E Niacinamide Clay Salicylic Acid,A revitalizing and hydrating eyeshadow enriched with Vitamin E and Niacinamide,affordable,0.0,1.0,0.0,1.0,0.5
CeraVe Moisturizer Program,CeraVe,Moisturizer,86.38,4.9,Salicylic Acid Tea Tree Oil Retinol Kaolin Witch Hazel Niacinamide Jojoba Oil Aloe Vera,A nourishing and soothing moisturizer enriched with Salicylic Acid and Tea Tree Oil,luxury,1.0,1.0,0.5,1.0,0.5
Fenty Beauty Foundation Wrong,Fenty Beauty,Foundation,49.05,4.4,Hyaluronic Acid Ceramides Peptides Vitamin E Antioxidants Green Tea,A revitalizing and pore minimizing foundation enriched with Hyaluronic Acid and Ceramides,premium,1.0,0.0,0.5,1.0,1.0
L Oreal Serum House,L Oreal,Serum,13.6,4.7,Charcoal Niacinamide Clay Witch Hazel Glycerin Glycolic Acid Kaolin,A mattifying and nourishing serum enriched with Charcoal and Niacinamide,budget,0.5,1.0,0.0,1.0,0.0
Fenty Beauty Lipstick Window,Fenty Beauty,Lipstick,33.44,3.7,Glycolic Acid Clay Witch Hazel Charcoal Retinol Tea Tree Oil Centella Asiatica,A anti aging and mattifying lipstick enriched with Glycolic Acid and Clay,affordable,0.0,1.0,0.5,0.0,0.0
Rare Beauty Moisturizer Security,Rare Beauty,Moisturizer,37.1,4.9,Argan Oil Kaolin Salicylic Acid Witch Hazel Glycolic Acid Tea Tree Oil Chamomile,A hydrating and nourishing moisturizer enriched with Argan Oil and Kaolin,affordable,0.0,1.0,0.5,0.0,0.0
Tatcha Sunscreen But,Tatcha,Sunscreen,66.81,3.5,Niacinamide Aloe Vera Squalane Allantoin,A nourishing and clarifying sunscreen enriched with Niacinamide and Aloe Vera,premium,1.0,0.5,1.0,1.0,0.5
Maybelline Concealer After,Maybelline,Concealer,33.95,4.2,Madecassoside Green Tea Oatmeal Aloe Vera,A calming and revitalizing concealer enriched with Madecassoside and Green Tea,affordable,0.5,0.0,1.0,0.5,0.5
CeraVe Blush Politics,CeraVe,Blush,54.7,3.8,Tea Tree Oil Antioxidants Niacinamide,A soothing and clarifying blush enriched with Tea Tree Oil and Antioxidants,premium,0.0,1.0,0.0,0.5,0.5
Tatcha Serum Issue,Tatcha,Serum,68.25,3.6,Panthenol Green Tea,A nourishing and clarifying serum enriched with Panthenol and Green Tea,premium,0.0,0.0,0.5,0.0,0.0
NYX Serum Paper,NYX,Serum,20.21,4.6,Aloe Vera Vitamin E Aloe Vera Peptides Niacinamide,A pore minimizing and mattifying serum enriched with Aloe Vera and Vitamin E,budget,0.5,0.5,0.5,1.0,1.0
Neutrogena Foundation Charge,Neutrogena,Foundation,10.83,4.8,Aloe Vera Peptides Niacinamide Aloe Vera Coenzyme Q10 Madecassoside,A calming and clarifying foundation enriched with Aloe Vera and Peptides,budget,0.5,0.5,0.5,1.0,1.0
Maybelline Serum Early,Maybelline,Serum,54.81,4.6,Hyaluronic Acid Aloe Vera Ceramides Vitamin E Jojoba Oil Argan Oil Ceramides,A soothing and anti aging serum enriched with Hyaluronic Acid and Aloe Vera,premium,1.0,0.0,0.5,1.0,1.0
Drunk Elephant Serum Country,Drunk Elephant,Serum,45.9,4.7,Coenzyme Q10 Vitamin C Aloe Vera Hyaluronic Acid Kaolin Peptides Calendula Niacinamide,A pore minimizing and brightening serum enriched with Coenzyme Q10 and Vitamin C,affordable,1.0,0.5,1.0,1.0,1.0
CeraVe Foundation Account,CeraVe,Foundation,31.61,3.4,Vitamin E Bisabolol Salicylic Acid Chamomile,A pore minimizing and revitalizing foundation enriched with Vitamin E and Bisabolol,affordable,0.0,0.5,0.5,0.5,0.5
CeraVe Serum Relationship,CeraVe,Serum,27.77,4.4,Witch Hazel Clay Jojoba Oil Niacinamide Kaolin Salicylic Acid Vitamin E Tea Tree Oil,A anti aging and brightening serum enriched with Witch Hazel and Clay,budget,0.5,1.0,0.0,1.0,0.5
Glossier Moisturizer His,Glossier,Moisturizer,23.91,4.5,Aloe Vera Ceramides,A clarifying and anti aging moisturizer enriched with Aloe Vera and Ceramides,budget,1.0,0.0,0.5,0.5,0.5
The Ordinary Concealer Look,The Ordinary,Concealer,43.67,4.9,Ceramides Coenzyme Q10 Peptides Niacinamide Aloe Vera Antioxidants,A brightening and soothing concealer enriched with Ceramides and Coenzyme Q10,affordable,1.0,0.5,0.5,1.0,1.0
Tatcha Mask Especially,Tatcha,Mask,7.2,4.3,Chamomile Tea Tree Oil Witch Hazel Niacinamide Retinol Aloe Vera,A revitalizing and anti aging mask enriched with Chamomile and Tea Tree Oil,budget,0.5,1.0,1.0,1.0,0.5
Maybelline Moisturizer During,Maybelline,Moisturizer,40.11,3.6,Green Tea Glycerin Calendula Glycerin Vitamin E Jojoba Oil,A pore minimizing and nourishing moisturizer enriched with Green Tea and Glycerin,affordable,1.0,0.0,1.0,1.0,0.5
Glossier Concealer National,Glossier,Concealer,69.32,3.0,Hyaluronic Acid Jojoba Oil Niacinamide Squalane Green Tea Ceramides,A soothing and hydrating concealer enriched with Hyaluronic Acid and Jojoba Oil,luxury,1.0,0.5,0.5,1.0,0.0
Clinique Concealer Offer,Clinique,Concealer,50.3,4.0,Clay Kaolin Glycolic Acid Squalane Zinc,A anti aging and mattifying concealer enriched with Clay and Kaolin,premium,0.5,1.0,0.0,0.0,0.0
Fenty Beauty Moisturizer Low,Fenty Beauty,Moisturizer,41.4,4.4,Niacinamide Ceramides Vitamin E Vitamin C Peptides,A soothing and calming moisturizer enriched with Niacinamide and Ceramides,affordable,0.5,0.5,0.0,1.0,1.0
Drunk Elephant Lipstick Wish,Drunk Elephant,Lipstick,62.18,3.7,Witch Hazel Hyaluronic Acid Madecassoside Retinol Tea Tree Oil Zinc Charcoal,A clarifying and pore minimizing lipstick enriched with Witch Hazel and Hyaluronic Acid,premium,0.5,1.0,0.0,0.5,0.0
Estee Lauder Blush Image,Estee Lauder,Blush,40.2,3.6,Squalane Green Tea Vitamin E Aloe Vera Squalane Glycerin,A hydrating and nourishing blush enriched with Squalane and Green Tea,affordable,1.0,0.0,1.0,1.0,1.0
Innisfree Moisturizer Reason,Innisfree,Moisturizer,78.51,3.1,Aloe Vera Vitamin E Jojoba Oil Niacinamide Ceramides,A mattifying and clarifying moisturizer enriched with Aloe Vera and Vitamin E,luxury,1.0,0.5,0.5,1.0,1.0
Maybelline Foundation Why,Maybelline,Foundation,47.96,3.9,Aloe Vera Vitamin C Glycerin Jojoba Oil Ceramides Avocado Oil Squalane,A soothing and pore minimizing foundation enriched with Aloe Vera and Vitamin C,affordable,1.0,0.0,0.5,1.0,1.0
